City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,date
235,thal,35.4791,72.2439,14.51,45,0,1.22,PK,1727750842,2024-10-01 02:47:22
236,katsuura,35.1333,140.3,25.18,94,100,7.13,JP,1727750805,2024-10-01 02:46:45
237,arkhangel'sk,64.5401,40.5433,0.06,100,20,2.0,RU,1727750844,2024-10-01 02:47:24
238,moyale,3.5167,39.0584,20.35,70,100,1.96,KE,1727750845,2024-10-01 02:47:25
239,punta arenas,-53.15,-70.9167,2.06,93,100,2.06,CL,1727750813,2024-10-01 02:46:53
240,coronel suarez,-37.4547,-61.9334,9.65,61,22,2.75,AR,1727750847,2024-10-01 02:47:27
241,ndele,8.4109,20.6473,20.65,97,100,0.69,CF,1727750848,2024-10-01 02:47:28
242,cedeira,43.6797,-8.0209,18.79,90,100,9.25,ES,1727750849,2024-10-01 02:47:29
243,suva,-18.1416,178.4415,27.71,74,75,6.17,FJ,1727750850,2024-10-01 02:47:30
244,kiama,-34.6833,150.8667,19.65,61,0,4.62,AU,1727750851,2024-10-01 02:47:31
245,mount isa,-20.7333,139.5,33.87,18,0,4.63,AU,1727750852,2024-10-01 02:47:32
246,kruisfontein,-34.0033,24.7314,9.25,81,38,7.69,ZA,1727750854,2024-10-01 02:47:34
247,gangneung,37.7556,128.8961,24.39,66,92,3.62,KR,1727750855,2024-10-01 02:47:35
248,saint-malo,48.5,-1.8333,10.86,90,100,3.19,FR,1727750856,2024-10-01 02:47:36
249,manacapuru,-3.2997,-60.6206,25.1,87,75,1.35,BR,1727750857,2024-10-01 02:47:37
250,udachny,66.4167,112.4,0.57,99,100,2.51,RU,1727750858,2024-10-01 02:47:38
251,pisco,-13.7,-76.2167,17.03,88,0,5.66,PE,1727750859,2024-10-01 02:47:39
252,isla del bosque,22.7333,-105.85,27.79,82,100,2.64,MX,1727750860,2024-10-01 02:47:40
253,ortakoy,38.7373,34.0387,10.46,77,79,1.98,TR,1727750861,2024-10-01 02:47:41
254,crane,31.3974,-102.3501,25.87,23,0,4.49,US,1727750862,2024-10-01 02:47:42
255,lady frere,-31.7031,27.2329,2.59,64,1,3.64,ZA,1727750863,2024-10-01 02:47:43
256,hammerfest,70.6634,23.6821,7.25,65,75,4.12,NO,1727750864,2024-10-01 02:47:44
257,hovd,48.0056,91.6419,8.66,22,20,0.59,MN,1727750865,2024-10-01 02:47:45
258,lompoc,34.6391,-120.4579,21.5,86,0,1.54,US,1727750866,2024-10-01 02:47:46
259,pokhara,28.2333,83.9833,23.66,82,28,1.29,NP,1727750764,2024-10-01 02:46:04
260,guacui,-20.7756,-41.6794,17.83,95,23,1.8,BR,1727750868,2024-10-01 02:47:48
261,bardai,11.65,7.2333,22.46,84,45,3.85,NG,1727750869,2024-10-01 02:47:49
262,afaahiti,-17.75,-149.2833,25.31,79,43,3.95,PF,1727750870,2024-10-01 02:47:50
263,netrakona,24.8833,90.7167,28.6,82,100,3.54,BD,1727750871,2024-10-01 02:47:51
264,berdigestyakh,62.0989,126.6992,1.59,100,100,0.41,RU,1727750872,2024-10-01 02:47:52
265,sint michiel liber,12.15,-68.9833,28.9,84,20,3.6,CW,1727750873,2024-10-01 02:47:53
266,manta,-0.95,-80.7333,21.88,83,40,4.12,EC,1727750796,2024-10-01 02:46:36
267,vadso,70.0744,29.7487,4.09,75,20,6.17,NO,1727750875,2024-10-01 02:47:55
268,sumbe,-11.2061,13.8437,21.8,89,32,1.15,AO,1727750876,2024-10-01 02:47:56
269,lugovoye,42.9094,72.7178,16.97,33,68,0.12,KZ,1727750877,2024-10-01 02:47:57
